ranking,country,regional_indicator,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,year,month
1,Switzerland,Western Europe,7.587,8.26132,0.9624,73,0.99379,0.37289,0.23941,2015,1
1,Switzerland,Western Europe,7.587,8.26132,0.9624,73,0.99379,0.37289,0.23941,2015,2
1,Switzerland,Western Europe,7.587,8.26132,0.9624,73,0.99379,0.37289,0.23941,2015,3
1,Switzerland,Western Europe,7.587,8.26132,0.9624,73,0.99379,0.37289,0.23941,2015,4
1,Switzerland,Western Europe,7.587,8.26132,0.9624,73,0.99379,0.37289,0.23941,2015,5
1,Switzerland,Western Europe,7.587,8.26132,0.9624,73,0.99379,0.37289,0.23941,2015,6
1,Switzerland,Western Europe,7.587,8.26132,0.9624,73,0.99379,0.37289,0.23941,2015,7
1,Switzerland,Western Europe,7.587,8.26132,0.9624,73,0.99379,0.37289,0.23941,2015,8
1,Switzerland,Western Europe,7.587,8.26132,0.9624,73,0.99379,0.37289,0.23941,2015,9
1,Switzerland,Western Europe,7.587,8.26132,0.9624,73,0.99379,0.37289,0.23941,2015,10
1,Switzerland,Western Europe,7.587,8.26132,0.9624,73,0.99379,0.37289,0.23941,2015,11
1,Switzerland,Western Europe,7.587,8.26132,0.9624,73,0.99379,0.37289,0.23941,2015,12
2,Iceland,Western Europe,7.561,7.70416,1.0,73,0.93884,0.54819,0.74371,2015,1
2,Iceland,Western Europe,7.561,7.70416,1.0,73,0.93884,0.54819,0.74371,2015,2
2,Iceland,Western Europe,7.561,7.70416,1.0,73,0.93884,0.54819,0.74371,2015,3
2,Iceland,Western Europe,7.561,7.70416,1.0,73,0.93884,0.54819,0.74371,2015,4
2,Iceland,Western Europe,7.561,7.70416,1.0,73,0.93884,0.54819,0.74371,2015,5
2,Iceland,Western Europe,7.561,7.70416,1.0,73,0.93884,0.54819,0.74371,2015,6
2,Iceland,Western Europe,7.561,7.70416,1.0,73,0.93884,0.54819,0.74371,2015,7
2,Iceland,Western Europe,7.561,7.70416,1.0,73,0.93884,0.54819,0.74371,2015,8
2,Iceland,Western Europe,7.561,7.70416,1.0,73,0.93884,0.54819,0.74371,2015,9
2,Iceland,Western Europe,7.561,7.70416,1.0,73,0.93884,0.54819,0.74371,2015,10
2,Iceland,Western Europe,7.561,7.70416,1.0,73,0.93884,0.54819,0.74371,2015,11
2,Iceland,Western Europe,7.561,7.70416,1.0,73,0.93884,0.54819,0.74371,2015,12
3,Denmark,Western Europe,7.527,7.84114,0.9703,70,0.96962,0.42894,0.12382,2015,1
3,Denmark,Western Europe,7.527,7.84114,0.9703,70,0.96962,0.42894,0.12382,2015,2
3,Denmark,Western Europe,7.527,7.84114,0.9703,70,0.96962,0.42894,0.12382,2015,3
3,Denmark,Western Europe,7.527,7.84114,0.9703,70,0.96962,0.42894,0.12382,2015,4
3,Denmark,Western Europe,7.527,7.84114,0.9703,70,0.96962,0.42894,0.12382,2015,5
3,Denmark,Western Europe,7.527,7.84114,0.9703,70,0.96962,0.42894,0.12382,2015,6
